destination_country,destination_partner,gsv,net_recv_fees,recv_payout_suc,recv_payout_rev,txn_count,success_count,reversed_count,gp,reversal_per_txn,adjusted_rev_payout,adjusted_txn_count,cost_per_txn,adjusted_gross_profit,profitability_per_txn
Albania,#####,264.897,45.575,41.175,-4.4,21,20,1,10.588,0.048,41.175,19,2.167,14.888,0.784
Argentina,#####,6.260601,3.6,3.6,0,12,12,0,1.529714,0,3.6,12,0.3,1.53,0.127
Argentina,#####,8.074,4.5,4.5,0,6,6,0,-2.156443,0,4.5,6,0.75,-2.156,-0.359
Argentina,#####,12.181311,7,7,0,14,14,0,-18.306057,0,7,14,0.5,-18.306,-1.308
Argentina,#####,13.55124,24,24,0,32,32,0,-18.408078,0,24,32,0.75,-18.408,-0.575
Australia,#####,0.663218,1,1,0,1,1,0,-0.999121,0,1,1,1,-0.999,-0.999
Australia,#####,21.226,28.8,28.8,0,32,32,0,-28.857,0,28.8,32,0.9,-28.857,-0.902
Australia,#####,6865935.221,1766.4,1766.4,0,5888,5888,0,51152.50491,0,1766.4,5888,0.3,51152.505,8.688
Australia,#####,1016040.887,220.5,219.5,-1,415,414,1,4548.871065,0.002,219.5,413,0.531,4464.759,10.811
Austria,#####,40569433.98,5568.731951,5546.048887,-22.683064,50256,50159,97,11798.80715,0.002,5546.049,50062,0.111,11752.153,0.235
Austria,#####,5746939.2,862.565127,858.229127,-4.336,7957,7937,20,3636.834494,0.003,858.229,7917,0.108,3619.488,0.457
Azerbaijan,#####,3.8,4.511,4.511,0,3,3,0,-4.47,0,4.511,3,1.504,-4.47,-1.49
Azerbaijan,#####,12.672,0.049,0.049,0,13,13,0,0.605,0,0.049,13,0.004,0.605,0.047
Bahrain,#####,2.694,1.508,1.508,0,1,1,0,-0.446,0,1.508,1,1.508,-0.446,-0.446
Bahrain,#####,20938.55648,420,392,-28,60,58,2,-111.387772,0.033,392,56,7,-87.97,-1.571
Bangladesh,#####,78355315.33,2.3351,2.3351,0,103336,102047,1289,2480855.723,0.012,2.335,100758,0,2425527.995,24.073
Bangladesh,#####,103967959.6,0,0,0,133101,131474,1627,4969766.401,0.012,0,129847,0,4840869.693,37.281
